sentence,label
检测多少钱啊,咨询价格
检测费用大概多少？,咨询价格
检测费用多钱,咨询检查
检查不该收费,无
检查打概得多少钱,咨询价格
检查大概多少费用,咨询价格
检查大概多少费用,咨询价格
检查大概多少钱,咨询价格
检查得多少钱？,咨询检查
检查的多少钱,咨询价格
检查的费用大概多少？,咨询检查
检查的费用一般是多少啊,咨询检查
检查都是需要做哪些项目 ?费用是多少,咨询检查
检查多少钱,咨询检查
检查多少钱。排队吗,咨询检查
检查多少钱啊？,咨询检查
检查费多少钱,咨询价格
检查费多少钱,咨询价格
检查费多少钱呢,咨询价格
检查费及手术费多少,咨询价格
检查费能报吧！,无
检查费排除费大概多少钱??？?多吗？??挺紧张的???不是本地的,咨询检查
检查费全面查一次多少费用,咨询价格
检查费用,咨询检查
检查费用??在多少钱,咨询检查
检查费用??在多少钱,咨询价格
检查费用，检查时间以及结果出来时间能解答一下吗,咨询价格
检查费用不贵吧,咨询价格
检查费用大概多少呢,咨询检查
检查费用多少,咨询价格
检查费用多少,咨询价格
检查费用多少,咨询价格
检查费用多少呢,咨询检查
检查费用多少钱呀。后续治疗多少钱啊，谢谢,咨询价格
检查费用呢,咨询检查
检查费用你，需要多少。检查个病情，一般这边，下来保守需要花费多少。我需要合计合计,咨询价格
检查费用三百多，？,咨询价格
检查费用是多少,咨询检查
检查费用是多少那？,咨询价格
检查费用是多少呢,咨询检查
检查费用需要多少,咨询价格
检查费用一般在多少,咨询检查
检查费用一般在多少,咨询价格
检查挂号费,咨询挂号
检查贵吗？毕竟我也是普通打工的,咨询检查
检查过，手术已做完，想问效果如何，有无后遗症,咨询后果
检查和后期的费用呢？,咨询检查
检查和后期的费用呢？,咨询价格
检查加治疗，大概多长时间，多少钱,咨询价格
检查检查，大概多少钱,咨询检查
检查结果还在用不用我给你发上来看看麻烦专家一下,无
检查了！是啊,描述就诊史
检查了，为了不让爸妈担心,描述就诊史
检查了一下让做呢,描述就诊史
检查能不能生孩子多少钱,咨询检查
检查前两天我们同房了,描述就诊史
检查全部费用,咨询价格
检查全部费用,咨询价格
检查什么，多少钱,咨询检查
检查项目和费用方便发一下码,咨询价格
检查需要多少钱,咨询价格
检查需要多少钱,咨询价格
检查需要多少钱，都查什么？,咨询价格
检查需要多少时间，大概费用多少,咨询检查
检查要多少钱,咨询检查
检查要花多少钱,咨询检查
检查一次大概多少钱,咨询检查
检查一次多少钱,咨询检查
检查一次费用多少,咨询价格
检查一次费用多少,咨询价格
检查一次需要多少钱,咨询检查
检查一回需要多少钱,咨询价格
检查一下多少钱,咨询价格
检查一下多少钱呢,咨询检查
检查一下需要多少钱,咨询价格
检查一下需要多少钱,咨询价格
检查阴茎多少钱,咨询检查
检查约多少费用,咨询检查
检查早泄多少钱,咨询检查
检查这个多少钱,咨询价格
建国?我微信加的?女孩子挺关心人的?就是主任太坑了,无
建议我疏通，输液,描述就诊史
角门这边,无
脚跟那边有静脉曲张，不能手术,描述症状
觉得没啥大事?先看看,无
节日快乐休息吗，是医保医院吗,无
结婚一年半，没有怀孕,无
今年二十三岁，有一年了,描述症状
今年二十三岁，有一年了,描述症状
今天才发现的，,描述症状
今天刺痒四次了,描述频率
今天第一次,无
今天第一次,描述症状
今天刚刚发现,描述症状
今天给我打的电话，,无
今天和我女朋友，啪啪啪射里面了，过了一会他去上厕所，还有可能怀孕吗？,咨询生理现象
今天换一次?,确定预约时间
今天开始撒尿20来次了,描述频率
今天起来还没小便,描述症状
今天是第2天,描述症状
今天随便一个检查就是900多,描述就诊史
今天我去检查一下,确定预约时间
今天约号能看上吗,确定预约时间
近几次好多了,无
禁欲多久可以慢慢回复,无
京城皮肤病医院,无
京门医院？京门医院,无
经常射有什么好处,无
经常手瘾会导致什么病,无
精液可以食用吗？,无
精液液化120分钟是不是正常,描述症状
精液液化120分钟是不是正常,无
精液遇水会怎样,无
精子活力达标,描述症状
精子可以吃吗,无
竞价否词???麻烦转达q???3049868536,无
静脉曲张能治好吗????怎么治,咨询治疗方式
静脉曲张能治好吗？需要多少钱,咨询价格
九点多的时候开始的??到现在了,无
九月的事，前几天查的,描述就诊史
久能治好,咨询疗效
久坐倒是有,无
久坐也是偶尔,无
久坐有?憋尿还好吧?其他没有,无
酒精过敏，不喝酒,描述症状
酒精过敏，不喝酒,咨询食疗
就不留联系方式了吧，我知道您姓宋了，有什么需要我去医院去看看沟通,确定预约时间
就地铁了,无
就今天头一回,无
就看说打小针好的快,咨询治疗方式
就怕做完了几天不能做工,咨询治愈时长
就是。聊聊天,无
就是插管治疗不影响吗？,咨询项目介绍
就是插管治疗不影响吗？,咨询项目介绍
就是会有一些白色透明的液体流出来。这个有影响嘛,咨询后果
就是检查的费用大概多少,咨询检查
就是截肢之前就不硬了，现在截肢有半年多了,描述就诊史
就是静脉血管收缩的微创手术,咨询项目介绍
就是那个有残疾的医生,咨询专家
就是男性生殖器官这一块，有没有女医生就诊,无
就是男性生殖器官这一块，有没有女医生就诊,咨询专家
就是你们北京有点太远,无
就是皮肤性病专科,无
就是三甲医院,无
就是身体的原因了,描述症状
就是说先上医院检查，后才能治疗,咨询检查
就是他已经吃了很多种药物，都是国产的，有没有进口的药物,咨询药物
就是我白天在上班晚上行不行,无
就是我家附近一个医院,咨询公司介绍
就是系带的位置?还有一点,描述症状
就是相当于三甲被,咨询公立私立
就是以前手淫过渡上隐了,无
就是在北京附近,无
就是这三个检查费用在300元左右忙吗,咨询价格
就是治好了的话,无
就是做个手术,咨询项目介绍
就是做梦梦见自己跟老婆做爱完事就射了有害吗？因为我老婆不长在家一个月回来一次,咨询后果
就想先吃药试一下,咨询药物
就又怕有危害,咨询后果
就在这聊吧，我用QQ,确定联系意愿
就在这聊吧医生,确定联系意愿
就这里聊吧,确定联系意愿
就这两天,描述症状
就这两天，我手机修好后就可以去查,确定预约时间
就这两天才发现,描述症状
就这样聊吧,确定联系意愿
就这一次,无
具体情况到了医院检查一下再说吧,无
具体去医院咨询一下,确定预约时间
捐精是怎样捐的,无
开车方便吗？,无
开车呢！一会儿聊,确定联系意愿
开刀？,咨询项目介绍
开刀？,咨询项目介绍
